image_name,latitude,longitude,altitude,roll,pitch,yaw,accuracy horizontal,accuracy vertical
DSC08837.JPG,49.3918504874682469,8.1872265294171758,205.639,0.061,0.121,-132.722,0.02,0.05
DSC08838.JPG,49.3918113232119964,8.1872268986963253,205.628,0.007,0.090,-132.743,0.02,0.05
DSC08839.JPG,49.3917689570396234,8.1872268611246835,205.621,0.053,0.051,-132.871,0.02,0.05
DSC08840.JPG,49.3917282932385646,8.1872265664449806,205.644,0.073,0.059,-132.743,0.02,0.05
DSC08841.JPG,49.3916863380193547,8.1872264003592239,205.658,0.063,0.088,-132.785,0.02,0.05
DSC08842.JPG,49.3916448123132596,8.1872268617471828,205.646,0.077,0.054,-132.736,0.02,0.05
DSC08843.JPG,49.3916037944319939,8.1872270489176078,205.625,0.059,0.128,-132.758,0.02,0.05
DSC08844.JPG,49.3915607530918592,8.1872265467897520,205.647,0.060,0.108,-132.923,0.02,0.05
DSC08845.JPG,49.3915452493698055,8.1872162068386789,205.651,0.018,-0.054,-165.816,0.02,0.05
DSC08846.JPG,49.3915426328571527,8.1872051115047775,205.640,-0.060,-0.093,163.960,0.02,0.05
DSC08847.JPG,49.3915488976977954,8.1871446882927188,205.631,-0.056,0.042,117.939,0.02,0.05
DSC08848.JPG,49.3915547138407760,8.1871366682890656,205.639,-0.091,-0.183,95.219,0.02,0.05
DSC08849.JPG,49.3915614264766276,8.1871330535562770,205.650,-0.035,-0.015,73.360,0.02,0.05
DSC08850.JPG,49.3915998262774707,8.1871326542405267,205.618,-0.012,0.086,47.569,0.02,0.05
DSC08851.JPG,49.3916425705427145,8.1871331182507614,205.626,0.009,0.044,47.210,0.02,0.05
DSC08852.JPG,49.3916864975553196,8.1871333167730533,205.641,0.003,0.006,47.204,0.02,0.05
DSC08853.JPG,49.3917279652655736,8.1871334488150378,205.638,0.004,0.043,46.904,0.02,0.05
DSC08854.JPG,49.3917680060529634,8.1871328089257212,205.657,0.010,0.068,47.474,0.02,0.05
DSC08855.JPG,49.3918121982502072,8.1871345405984464,205.627,-0.016,-0.032,46.906,0.02,0.05
DSC08856.JPG,49.3918538916299639,8.1871353327228942,205.626,-0.012,-0.020,46.793,0.02,0.05
DSC08857.JPG,49.3918942506842171,8.1871360714426107,205.623,0.025,-0.078,46.880,0.02,0.05
DSC08858.JPG,49.3919371512123533,8.1871365816182369,205.633,0.041,0.003,46.996,0.02,0.05
DSC08859.JPG,49.3919771435248549,8.1871355287358689,205.637,-0.043,-0.003,47.083,0.02,0.05
DSC08860.JPG,49.3920201189760348,8.1871352791062950,205.647,-0.021,0.031,46.996,0.02,0.05
DSC08861.JPG,49.3920611599619264,8.1871361208626343,205.653,-0.017,0.030,47.092,0.02,0.05
DSC08862.JPG,49.3921032259870572,8.1871356743106727,205.663,-0.041,0.037,47.137,0.02,0.05
DSC08863.JPG,49.3921452125927658,8.1871356630342991,205.623,-0.030,-0.019,47.123,0.02,0.05
DSC08864.JPG,49.3921861339071668,8.1871357143874643,205.629,-0.060,0.031,47.205,0.02,0.05
DSC08865.JPG,49.3922270006413839,8.1871347206953509,205.649,-0.013,0.064,47.223,0.02,0.05
DSC08866.JPG,49.3922683438214420,8.1871347069903724,205.649,-0.045,0.077,47.316,0.02,0.05
DSC08867.JPG,49.3923105447287867,8.1871351090779108,205.668,0.017,0.068,47.043,0.02,0.05
DSC08868.JPG,49.3923512657395207,8.1871364236430217,205.629,-0.038,0.040,46.870,0.02,0.05
DSC08869.JPG,49.3923924548184132,8.1871364180638633,205.637,0.013,0.005,47.157,0.02,0.05
DSC08870.JPG,49.3924354487528774,8.1871358725336592,205.606,-0.026,-0.003,47.043,0.02,0.05
DSC08871.JPG,49.3924764470298996,8.1871355717942524,205.614,-0.022,-0.004,47.082,0.02,0.05
DSC08872.JPG,49.3925186210884775,8.1871366503528122,205.619,0.016,0.018,46.976,0.02,0.05
DSC08873.JPG,49.3925609602420863,8.1871365795935294,205.630,0.015,-0.028,47.277,0.02,0.05
DSC08874.JPG,49.3926022420956556,8.1871358651020572,205.633,-0.017,-0.030,47.109,0.02,0.05
DSC08875.JPG,49.3926438726200985,8.1871361225855264,205.646,-0.010,0.050,47.072,0.02,0.05
DSC08876.JPG,49.3926843721578450,8.1871362401381909,205.663,-0.036,0.047,47.066,0.02,0.05
DSC08877.JPG,49.3927251939629102,8.1871365949349002,205.659,-0.023,0.013,47.092,0.02,0.05
DSC08878.JPG,49.3927678692274128,8.1871367478511772,205.621,0.043,0.036,47.037,0.02,0.05
DSC08879.JPG,49.3928096154533307,8.1871354924973616,205.639,0.004,-0.006,47.120,0.02,0.05
DSC08880.JPG,49.3928496900984371,8.1871361141613228,205.615,0.069,-0.001,47.169,0.02,0.05
DSC08881.JPG,49.3928916711959189,8.1871359710382077,205.633,0.072,-0.003,47.003,0.02,0.05
DSC08882.JPG,49.3929343174539923,8.1871359298921735,205.642,0.041,0.004,47.069,0.02,0.05
DSC08883.JPG,49.3929762478979768,8.1871356709282477,205.639,0.039,-0.031,47.060,0.02,0.05
DSC08884.JPG,49.3930168756827186,8.1871355966828645,205.639,0.064,-0.010,47.068,0.02,0.05
DSC08885.JPG,49.3930584281918499,8.1871356652753882,205.641,0.043,-0.052,47.044,0.02,0.05
DSC08886.JPG,49.3930995614404935,8.1871360614999844,205.631,0.016,-0.031,47.189,0.02,0.05
DSC08887.JPG,49.3931413204929513,8.1871362654179283,205.645,0.025,-0.027,47.103,0.02,0.05
DSC08888.JPG,49.3931828335964340,8.1871356278571348,205.632,0.008,0.025,46.998,0.02,0.05
DSC08889.JPG,49.3932246514990680,8.1871355236090348,205.642,0.051,-0.013,47.031,0.02,0.05
DSC08890.JPG,49.3932655842651371,8.1871356725503723,205.654,0.024,-0.036,47.069,0.02,0.05
DSC08891.JPG,49.3933070992296379,8.1871357582401050,205.666,-0.021,-0.023,47.099,0.02,0.05
DSC08892.JPG,49.3933501162973201,8.1871351497266662,205.639,-0.023,-0.003,46.994,0.02,0.05
DSC08893.JPG,49.3933902730891248,8.1871346220324934,205.661,-0.004,-0.002,47.126,0.02,0.05
DSC08894.JPG,49.3934335860304401,8.1871349897690440,205.656,-0.051,-0.068,46.860,0.02,0.05
DSC08895.JPG,49.3934744832755683,8.1871352700087812,205.617,0.035,-0.001,46.815,0.02,0.05
DSC08896.JPG,49.3935151307779563,8.1871353096247326,205.623,-0.019,-0.000,47.075,0.02,0.05
DSC08897.JPG,49.3935500118513531,8.1871269142473242,205.620,0.008,0.080,72.188,0.02,0.05
DSC08898.JPG,49.3935558684020393,8.1871160989591303,205.630,0.081,0.052,92.940,0.02,0.05
DSC08899.JPG,49.3935620649403972,8.1870539151358219,205.656,-0.104,0.046,135.893,0.02,0.05
DSC08900.JPG,49.3935581434012363,8.1870458203438190,205.639,-0.151,-0.047,164.110,0.02,0.05
DSC08901.JPG,49.3935513126043233,8.1870420854431707,205.639,0.059,0.034,-162.774,0.02,0.05
DSC08902.JPG,49.3935090258237679,8.1870437237972116,205.624,0.106,0.113,-133.211,0.02,0.05
DSC08903.JPG,49.3934672375914019,8.1870453650998858,205.620,0.079,0.110,-132.892,0.02,0.05
DSC08904.JPG,49.3934243681009875,8.1870452174302422,205.625,0.081,0.109,-132.607,0.02,0.05
DSC08905.JPG,49.3933835918373347,8.1870445757303028,205.637,0.063,0.117,-132.663,0.02,0.05
DSC08906.JPG,49.3933404921191084,8.1870443158550099,205.635,0.062,0.082,-132.922,0.02,0.05
DSC08907.JPG,49.3933003343308030,8.1870442531725995,205.636,0.088,0.159,-132.944,0.02,0.05
DSC08908.JPG,49.3932580590301882,8.1870444336245587,205.630,0.049,0.059,-132.687,0.02,0.05
DSC08909.JPG,49.3932155690727583,8.1870439479005164,205.616,0.036,0.173,-132.765,0.02,0.05
DSC08910.JPG,49.3931729373360895,8.1870442293600600,205.619,0.040,0.124,-132.789,0.02,0.05
DSC08911.JPG,49.3931328023411922,8.1870450384804094,205.631,0.097,0.108,-132.712,0.02,0.05
DSC08912.JPG,49.3930894036502508,8.1870452826813658,205.622,0.013,0.128,-132.788,0.02,0.05
